tournament_slugs,year_of_tournament
Nacl Qualifiers 2 Summer 2023,2023
Gll Summer 2023,2023
Elite Series Summer 2023,2023
Superliga Summer 2023,2023
Ultraliga Summer 2023,2023
Lpl Regional Finals 2023,2023
Tcl Summer 2023,2023
Nlc Summer 2023,2023
Ljl Academy 2023,2023
Pg Nationals Summer 2023,2023
Ebl Summer 2023,2023
Lrs Closing 2023,2023
Liga Portuguesa Summer 2023,2023
Lck Challengers Spring 2023,2023
Elements League Opening 2022,2022
Lck Challengers Spring 2022,2022
Hitpoint Masters Summer 2021,2021
Tal Summer 2021,2021
Nlc Summer 2021,2021
Pg Nationals Summer 2021,2021
Prime League Summer 2021,2021
Pcs Summer 2021,2021
Lpl Summer 2023,2023
Vcs Summer 2023,2023
Vcs Spring 2023,2023
Ddh Opening 2023,2023
Elite Series Spring 2023,2023
Cblol Academy Split 1 2022,2022
Lck Summer 2021,2021
Msi 2021,2021
Lcs Summer 2021,2021
Ultraliga Spring 2021,2021
Lck Challengers Spring 2021,2021
Midseason Cup 2020,2020
Lcs Academy Summer 2020,2020
Ljl Spring 2020,2020
Opl 2020 Split1,2020
Cblol Academy 2023 Split 2,2023
Golden League Opening 2023,2023
Lcs Proving Grounds Summer 2022,2022
Pcs Spring 2022,2022
Nlc Spring 2023,2023
Lck Summer 2022,2022
Prime League Summer 2022,2022
Hitpoint Masters Summer 2022,2022
Superliga Spring 2022,2022
Esports Balkan League Summer 2021,2021
Belgian League 2021 Split2,2021
Lla Closing 2023,2023
Lco Split 2 2022,2022
Cblol 2020 Split1,2020
Emea Masters Spring Main 2023,2023
Superliga Spring 2023,2023
Honor Division Closing 2022,2022
Lck Academy 01 2022,2022
Lck Challengers Summer 2022,2022
Lec Spring 2022,2022
Lck Challengers Summer 2021,2021
Tal Winter 2021,2021
Pcs Spring 2023,2023
Lfl Spring 2023,2023
Lcs Academy Summer 2022,2022
Cblol Academy Split 2 2022,2022
Lec Spring 2021,2021
Tcl Summer 2020,2020
Lck Summer 2020,2020
Lcl Summer 2021,2021
Liga Portuguesa Summer 2021,2021
Lcs Proving Grounds Spring 2021,2021
Nacl Summer 2023,2023
Stars League Opening 2022,2022
Ultraliga Spring 2022,2022
Msi 2022,2022
Lfl 2021 Summer,2021
Lco Split 2 2021,2021
Nacl Qualifiers 1 Summer 2023,2023
Lfl Summer 2023,2023
Lcs Summer 2022,2022
Ultraliga Summer 2022,2022
Lcs Lock In 2022,2022
Hitpoint Masters Spring 2023,2023
Pcs Summer 2022,2022
Superliga Summer 2021,2021
Lec Spring 2020,2020
Prime League Summer 2023,2023
Lec Spring 2023,2023
Stars League Opening 2023,2023
Elements League Closing 2022,2022
Ljl Summer 2022,2022
Prime League Spring 2021,2021
Worlds 2022,2022
European Masters Spring 2021 Main Event,2021
Lck 2020 Split1,2020
Ljl Spring 2023,2023
El Opening 2023,2023
Lck Regional Finals 2022,2022
Ebl Spring 2023,2023
Lcs Academy Spring 2021,2021
Nlc 2021 Split1,2021
Ultraliga Spring 2023,2023
Superliga Summer 2022,2022
Greek Legends League Spring 2022,2022
Lla Closing 2021,2021
Baltic Masters 2021 Summer,2021
Honor League Opening 2023,2023
Lcs Academy Summer 2021,2021
Tal Summer 2022,2022
Pg Nationals Spring 2022,2022
Greek Legends League Summer 2022,2022
Belgian League 2021 Split1,2021
Dutch League 2021 Split2,2021
European-masters-spring-2020,2020
Nacl Qualifiers 1 Spring 2023,2023
Worlds 2021,2021
Volcano League Opening 2022,2022
Esports Balkan League Spring 2022,2022
Tcl Spring 2023,2023
Greek Legends League Summer 2021,2021
European Masters Summer 2022 Play Ins,2022
Lck Regional Finals 2021,2021
Ljl Academy 2021,2021
Lcs Lock In 2021,2021
Golden League Super Finals 2022,2022
Lla 2020 Split1,2020
Lla Promotion 2022,2022
Stars League Super Finals 2022,2022
Volcano League Super Finals 2022,2022
Midseason Streamathon 2020,2020
Emea Masters Summer 2023,2023
Pcs Summer Playoffs 2023,2023
Cblol 2023 Split 2,2023
Lco Split 2 2023,2023
Lcs Summer 2023,2023
Lec Summer 2023,2023
Msi 2023,2023
Ljl Summer 2023,2023
Lco Split 1 2023,2023
Lck Spring 2023,2023
Lec Summer 2022,2022
Tcl Winter 2022,2022
Lcs Proving Grounds Spring 2022,2022
Cblol Split 1 2022,2022
Vcs Winter 2021,2021
Lcs Proving Grounds Summer 2021,2021
Ultraliga Summer 2021,2021
Cblol Split 2 2021,2021
Tcl Summer 2021,2021
Arabian League Summer 2023,2023
Lck Challengers Summer 2023,2023
Lck Summer 2023,2023
Emea Masters Spring Play Ins 2023,2023
Lcs Amateur Circuit Summer 2022,2022
Liga Portuguesa Summer 2022,2022
Lcl Spring 2022,2022
Ljl Academy 2022,2022
Elite Series Spring 2022,2022
Lco Split 1 2022,2022
Liga Portuguesa Spring 2021,2021
Cblol Split 1 2021,2021
Lcs Summer 2020,2020
Tcl Winter 2020,2020
Liga Portuguesa Spring 2023,2023
Tcl Summer 2022,2022
European Masters Spring 2022 Main Event,2022
Nlc Spring 2022,2022
Lrn Closing 2023,2023
Nacl Promotion Spring 2023,2023
Lec Season Finals 2023,2023
Pcs Summer 2023,2023
Hitpoint Masters Summer 2023,2023
Cblol Academy 2023 Split 1,2023
Nacl Spring 2023,2023
Stars League Closing 2022,2022
Honor League Opening 2022,2022
Honor Division Opening 2022,2022
Hitpoint Masters Spring 2021,2021
Lck Spring 2021,2021
Worlds 2020,2020
Lec Summer 2020,2020
Liga Master Opening 2023,2023
Lec Winter 2023,2023
Honor League Closing 2022,2022
Lfl 2022 Spring,2022
Lcs Academy Spring 2022,2022
Lck Spring 2022,2022
Nacl Qualifiers 2 Spring 2023,2023
Lfl 2022 Summer,2022
Lcs Spring 2023,2023
Vdl Opening 2023,2023
Prime League Spring 2023,2023
Gll Spring 2023,2023
Volcano League Closing 2022,2022
Tal Winter 2022,2022
Lec Summer 2021,2021
Dutch League 2021 Split1,2021
Elite Series Summer 2022,2022
Ljl Summer 2021,2021
Superliga Spring 2021,2021
Lcs Academy Spring 2020,2020
Cblol Split 2 2022,2022
Lla Opening 2022,2022
Prime League Spring 2022,2022
Liga Portuguesa Spring 2022,2022
European Masters Summer 2022 Main Event,2022
Ljl Spring 2021,2021
Esports Balkan League Spring 2021,2021
Tal Winter 2020,2020
Pcs Spring Playoffs 2023,2023
Lfl 2021 Spring,2021
Lla Opening 2023,2023
Pg Nationals Spring 2023,2023
Golden League Closing 2022,2022
Master Flow League Opening 2022,2022
Lcs Spring 2022,2022
Lla Closing 2022,2022
European Masters Summer 2021 Play Ins,2021
Tcl Winter 2021,2021
European Masters Summer 2021 Main Event,2021
Opl Split2 2020,2020
Cblol 2023 Split 1,2023
Master Flow League Closing 2022,2022
Nlc Summer 2022,2022
Lcl Spring 2021,2021
Pg Nationals Spring 2021,2021
Esports Balkan League Summer 2022,2022
European Masters Spring 2022 Play Ins,2022
Pcs Summer 2020,2020
Ljl Summer 2020,2020
Lla Promotion 2021,2021
European Masters Spring 2021 Play Ins,2021
Arabian League Spring 2023,2023
Hitpoint Masters Spring 2022,2022
Ljl Spring 2022,2022
Cblol Academy Split 1 2021,2021
Golden League Opening 2022,2022
Pg Nationals Summer 2022,2022
Lla Opening 2021,2021
Eu Masters Summer 2020,2020
Cblol Split 2 2020,2020
Lcs Amateur Circuit Summer 2022,2022
Mss 2021,2021
College Championship 2022,2022
Greek Legends League Spring 2021,2021
Lcs Spring 2020,2020
Tal Summer 2020,2020
Ase 2020,2020
Baltic Masters 2021 Spring,2021
Lla-closing-2020,2020
